# Questions for Network+ certification
# Question, Answer, Extra Info
# do not include extraneous commas in the fields - use semicolons if needed
'Application' is what # on the OSI model?, 7, Top layer of the OSI model
'Presentation' is what # on the OSI model?, 6, Second layer of the OSI model
'Session' is what # on the OSI model?, 5, Third layer of the OSI model
'Transport' is what # on the OSI model?, 4, Fourth layer of the OSI model
'Network' is what # on the OSI model?, 3, This is where IP addressing and routing occurs
'Data Link' is what # on the OSI model?, 2, This layer is responsible for node-to-node data transfer and error detection
'Physical' is what # on the OSI model?, 1, This layer is responsible for the physical connection between devices and the transmission of raw bit streams over a physical medium
Alternate acronym for MAC addresses?, DLC, Data Link Control; apparently refers to the exact same thing
On what OSI layer would a packet would get 'fragmented'?, 3, Fragmentation of packets occurs at the Network layer if the packet size exceeds the Maximum Transmission Unit (MTU) of the network
On what OSI layer would data 'segmentation' occur?, 4, Segmentation of data occurs at the Transport layer to break down large messages into smaller segments for transmission
On what OSI layer would Tunneling protocols be used?, 5, Tunneling protocols (such as PPTP; L2TP; and GRE) operate at the Session layer.
IDS and IPS - what does the I stand for?, Intrusion, Intrusion Detection System (IDS) and Intrusion Prevention System (IPS) monitor network traffic for suspicions activity and can take action. May be integrated into NG firewalls.
One server goes out but users do not notice a change; what is probably in place?, Load Balancer, Load balancers distribute incoming network traffic across multiple servers to ensure no single server becomes overwhelmed; can tell if server down and direct traffic elsewhere.
Network storage devices: Block Level Access/File Level Access (Acronyms)?, SAN/NAS, SAN (Storage Area Network) provides block-level access to storage devices; NAS (Network Attached Storage) provides file-level access to storage devices over a network.



